"","Age","Carbongpersqm"
"240",241,19084.4195202813
"241",242,19125.115621189
"242",243,19126.7328480735
"243",244,19217.4997375533
"244",245,19282.8799067505
"245",246,19334.4049010609
"246",247,19306.8719503405
"247",248,19311.4726304157
"248",249,19338.5061927904
"249",250,19354.3622034608
"250",251,19394.6123841664
"251",252,19459.975956931
"252",253,19515.351481676
"253",254,19555.5688889593
"254",255,19463.2835993232
"255",256,19544.8108351023
"256",257,19544.498962608
"257",258,19657.7595257365
"258",259,19760.3578807068
"259",260,19748.8659664578
"260",261,19809.0430009121
"261",262,19795.9461196144
"262",263,19929.9850931353
"263",264,19885.0769299776
"264",265,19910.020228449
"265",266,19990.6328023493
"266",267,20066.0932289595
"267",268,20067.1914658328
"268",269,20095.7142429901
"269",270,20000.6483664791
"270",271,20131.0740517119
"271",272,20260.8970897097
"272",273,20172.3634517134
"273",274,20168.1898231647
"274",275,20073.5907944899
"275",276,20141.3369969622
"276",277,19990.4536932418
"277",278,20118.9919541259
"278",279,20224.3937827575
"279",280,20223.931578827
"280",281,20220.1502863939
"281",282,20307.5346160384
"282",283,20319.179089934
"283",284,20259.9685144139
"284",285,20317.7260667508
"285",286,20388.1510110091
"286",287,20476.651099006
"287",288,20467.3287887686
"288",289,20478.2338397145
"289",290,20543.7159074454
"290",291,20582.0779168404
"291",292,20705.3282288087
"292",293,20518.6214664001
"293",294,20495.7368816884
"294",295,20480.9354818122
"295",296,20525.7035218451
"296",297,20472.9945130987
"297",298,20413.5778501846
"298",299,20535.1854640288
"299",300,20561.6389204034
"300",301,20648.9077484372
"301",302,20769.1326967784
"302",303,20805.1652104569
"303",304,20832.3444660785
"304",305,20777.4987701252
"305",306,20855.0217658311
"306",307,20920.3473117095
"307",308,20873.073858876
"308",309,20990.4546743073
"309",310,21020.8017954807
"310",311,21107.8299358239
"311",312,21183.1700465371
"312",313,21207.4444918074
"313",314,21083.4640836738
"314",315,21092.2206761666
"315",316,21163.2337422066
"316",317,21089.9041876879
"317",318,21167.3294583364
"318",319,21239.4743048995
"319",320,21231.3637841037
"320",321,21192.9417156518
"321",322,21200.6775578711
"322",323,21166.7807032858
"323",324,21082.2980698199
"324",325,21129.6437457226
"325",326,21144.0635704506
"326",327,21090.6719992503
"327",328,21171.9812519705
"328",329,21230.709419554
"329",330,21240.2430554729
"330",331,21288.3428431203
"331",332,21260.5942618904
"332",333,21237.6018481062
"333",334,21291.6240782996
"334",335,21156.1258699163
"335",336,21132.2747017783
"336",337,21059.0134532594
"337",338,21001.885284633
"338",339,20973.96649856
"339",340,21047.0831575836
"340",341,21157.8610185164
"341",342,21136.0186319425
"342",343,21207.0012562121
"343",344,21316.8348216495
"344",345,21426.1357079249
"345",346,21493.9978841657
"346",347,21570.0880933149
"347",348,21622.1618422052
"348",349,21695.4190097799
"349",350,21665.5981594562
"350",351,21610.6152198071
"351",352,21536.2275248724
"352",353,21408.0185301592
"353",354,21515.596835599
"354",355,21410.946025293
"355",356,21410.723231778
"356",357,21517.8911048886
"357",358,21504.2941011615
"358",359,21543.1400704286
"359",360,21585.7540195658
"360",361,21554.7731254905
"361",362,21578.9153297742
"362",363,21620.1298279433
"363",364,21667.8446794117
